test,metric,comp_mean,ncomp_mean,p,d,n_comp,n_ncomp,r,auc
farahmand,ntp_avg_prob,0.02758434647430538,0.048963643459234166,4.9123308676115894e-08,0.2129725600981564,902.0,140.0,,
farahmand,ntp_avg_surprisal,9.461374247840052,7.628415057157898,9.199393369730123e-08,-0.488331009971405,902.0,140.0,,
farahmand,fl_mid_avg_prob,0.023936329778493803,0.03596994873128729,0.004419843933180765,0.11549643827555346,902.0,140.0,,
farahmand,fl_mid_avg_surprisal,10.392591394361025,9.49696862053796,0.017346594931328747,-0.21480478678508017,902.0,140.0,,
farahmand,lookahead_avg,2.897975598557423e-05,1.6578767458478678e-05,0.5468448147020513,-0.20391518150933255,25.0,10.0,,
farahmand,ll_L0_avg,6.094848654656476e-17,2.4308673360308423e-19,0.08683113737876925,-0.05969644044450976,902.0,140.0,,
farahmand,ll_L6_avg,0.01091943009919761,0.027081321546919186,3.594945463577256e-05,0.20018638842854894,902.0,140.0,,
farahmand,ll_L12_avg,0.017680807788711127,0.034135423127833686,0.0005792222642683455,0.18374698425296124,902.0,140.0,,
farahmand,ll_L18_avg,0.018795039774823042,0.03411987478580503,0.0011909457112438497,0.17115090094273055,902.0,140.0,,
farahmand,ll_L24_avg,0.025535564280575015,0.04129238875315772,0.0007618252413183788,0.14645188853011532,902.0,140.0,,
farahmand,ll_L30_avg,0.03982988400884142,0.06434195364018078,0.00012599341807927346,0.17040998682313788,902.0,140.0,,
farahmand,ll_L36_avg,0.04747959402062288,0.07476315255453483,9.240393736342354e-06,0.17340776186140683,902.0,140.0,,
farahmand,ll_L42_avg,0.047922709016902036,0.07690776388605937,2.185537227506527e-06,0.1792723024604604,902.0,140.0,,
farahmand,ll_L47_avg,0.027474554236486037,0.047371662233789365,3.624023330442302e-07,0.19485585112764311,902.0,140.0,,
farahmand,fl_L0_k1_prob,6.09484861566765e-17,2.430858057688297e-19,0.05562183300750381,-0.059696440972821556,902.0,140.0,,
farahmand,fl_L6_k1_prob,0.011775117123178833,0.026387662917867212,4.3508682675082335e-05,0.17818393276127345,902.0,140.0,,
farahmand,fl_L12_k1_prob,0.018793858326718857,0.03129956242513247,0.0025244730591804957,0.13702949873570103,902.0,140.0,,
farahmand,fl_L18_k1_prob,0.019259868677014198,0.03127010785529722,0.006689697539435079,0.1318221703653564,902.0,140.0,,
farahmand,fl_L24_k1_prob,0.02585832906669928,0.037320073636448216,0.0033067013819002974,0.1054748630467244,902.0,140.0,,
farahmand,fl_L30_k1_prob,0.04013356099818847,0.0583339190757288,0.00045119914846046446,0.1268537848003206,902.0,140.0,,
farahmand,fl_L36_k1_prob,0.04733384743834859,0.0695598081527651,1.838887008075101e-05,0.14090517345436682,902.0,140.0,,
farahmand,fl_L42_k1_prob,0.047777533758663594,0.0729233652226534,3.0169431647334396e-06,0.15372300895243834,902.0,140.0,,
farahmand,fl_L47_k1_prob,0.027197185127598906,0.04174520063540399,4.6767999163660353e-07,0.14253534515540084,902.0,140.0,,
idiom_vs_ctrl,ntp_avg_prob,0.02098917696897512,0.2769156883418533,2.076004588837027e-28,1.8464401559927714,55.0,852.0,,
idiom_vs_ctrl,ntp_avg_surprisal,7.335803971463145,5.559104858968757,5.433966454268067e-07,-0.7683579390424259,55.0,852.0,,
idiom_vs_ctrl,fl_mid_avg_prob,0.0188040717293089,0.0019203241435603612,2.6541791232668655e-11,-0.34141065957193667,55.0,852.0,,
idiom_vs_ctrl,fl_mid_avg_surprisal,10.079849501969617,15.285502803738371,4.705808178492024e-22,1.6834258855265978,55.0,852.0,,
idiom_vs_ctrl,ll_L0_avg,2.8042351429261223e-18,0.00023507475475367096,2.8316643017692186e-33,0.048518938736268676,55.0,852.0,,
idiom_vs_ctrl,ll_L6_avg,0.006279534144067094,0.0048047564539367505,0.20426008216570934,-0.08056949246164996,55.0,852.0,,
idiom_vs_ctrl,ll_L12_avg,0.015185963143697087,0.008233673099641528,0.22851739733765075,-0.12497860041059537,55.0,852.0,,
idiom_vs_ctrl,ll_L18_avg,0.016909448133149204,0.012987632959005898,0.011589236346549556,-0.08233828711629311,55.0,852.0,,
idiom_vs_ctrl,ll_L24_avg,0.0188040717293089,0.027886325443783975,1.9543614442462426e-07,0.14825248515357073,55.0,852.0,,
idiom_vs_ctrl,ll_L30_avg,0.029460859586249007,0.07331816448663446,7.928501329838057e-12,0.4272930386908237,55.0,852.0,,
idiom_vs_ctrl,ll_L36_avg,0.038104489903974005,0.14011596061883483,1.0771454297688628e-15,0.8266953931400812,55.0,852.0,,
idiom_vs_ctrl,ll_L42_avg,0.05044682273865171,0.23188264620759816,1.782696211448634e-18,1.2148280742824853,55.0,852.0,,
idiom_vs_ctrl,ll_L47_avg,0.023798968446102332,0.2681351538379796,5.591156235458431e-27,1.7630958978985891,55.0,852.0,,
idiom_vs_ctrl,fl_L0_k1_prob,2.8042351429261223e-18,8.795653582478463e-07,0.03351475780876308,0.048836142050914785,55.0,852.0,,
idiom_vs_ctrl,fl_L6_k1_prob,0.006279534144067094,0.006488872513916461,0.0002003845860760808,0.0064523527738955195,55.0,852.0,,
idiom_vs_ctrl,fl_L12_k1_prob,0.015185963143697087,0.009521389333956461,1.8773742748083816e-08,-0.07916649804112079,55.0,852.0,,
idiom_vs_ctrl,fl_L18_k1_prob,0.016909448133149204,0.006169343299598229,9.187600137251524e-09,-0.2117750254750534,55.0,852.0,,
idiom_vs_ctrl,fl_L24_k1_prob,0.0188040717293089,0.008876251446064853,1.3039503769164217e-09,-0.15157166373376021,55.0,852.0,,
idiom_vs_ctrl,fl_L30_k1_prob,0.029460859586249007,0.01489264346989237,1.0034295859297225e-09,-0.1379967586857171,55.0,852.0,,
idiom_vs_ctrl,fl_L36_k1_prob,0.038104489903974005,0.015162759379707676,3.446980214728321e-10,-0.2234841776306603,55.0,852.0,,
idiom_vs_ctrl,fl_L42_k1_prob,0.05044682273865171,0.01466288018067879,2.2156024123661588e-13,-0.36479134227794013,55.0,852.0,,
idiom_vs_ctrl,fl_L47_k1_prob,0.023798968446102332,0.01626476901709991,1.1051340075895361e-08,-0.12916312578518385,55.0,852.0,,
spearman,ntp_avg_prob,,,2.396214018571808e-14,,,,0.2332991010312631,
spearman,ntp_avg_surprisal,,,1.7169222307246775e-14,,,,-0.23457381321678242,
spearman,fl_mid_avg_prob,,,1.4431458723380908e-06,,,,0.14863431684948697,
spearman,fl_mid_avg_surprisal,,,2.476042381130271e-06,,,,-0.1453128226700458,
spearman,lookahead_avg,,,0.6534988114014048,,,,-0.07861662940847085,
spearman,ll_L0_avg,,,0.003964401992194191,,,,-0.08917880074365069,
spearman,ll_L6_avg,,,2.5690131441007836e-11,,,,0.20466469750520744,
spearman,ll_L12_avg,,,2.1467404028619426e-08,,,,0.17238058560969874,
spearman,ll_L18_avg,,,3.272347458333857e-07,,,,0.15741232917325818,
spearman,ll_L24_avg,,,2.3019250830029323e-07,,,,0.15942358029712542,
spearman,ll_L30_avg,,,2.7204507131148675e-08,,,,0.17113105050541633,
spearman,ll_L36_avg,,,1.8650012768079806e-10,,,,0.1957223662072047,
spearman,ll_L42_avg,,,1.0413971470671579e-11,,,,0.20860553063312223,
spearman,ll_L47_avg,,,2.9718215998093377e-13,,,,0.22341720753037386,
spearman,fl_L0_k1_prob,,,0.0025423354324464434,,,,-0.09340991945876398,
spearman,fl_L6_k1_prob,,,5.808592079900238e-11,,,,0.2010346484243056,
spearman,fl_L12_k1_prob,,,1.7143627926401647e-07,,,,0.16108950449161386,
spearman,fl_L18_k1_prob,,,2.5505506188434305e-06,,,,0.14512827250903257,
spearman,fl_L24_k1_prob,,,1.2159436184095886e-06,,,,0.1496733485493141,
spearman,fl_L30_k1_prob,,,1.0545812874714037e-07,,,,0.16379957578599422,
spearman,fl_L36_k1_prob,,,3.8774411337871863e-10,,,,0.1923116083613882,
spearman,fl_L42_k1_prob,,,1.4202533818096793e-11,,,,0.20726025369680595,
spearman,fl_L47_k1_prob,,,2.8608454355843244e-13,,,,0.22357006895386208,
auc,ntp_avg_prob,,,,,,,,0.6431026290782388
auc,ntp_avg_surprisal,,,,,,,,0.6401488755147291
auc,fl_mid_avg_prob,,,,,,,,0.5746832435856826
auc,fl_mid_avg_surprisal,,,,,,,,0.5624247703515997
auc,lookahead_avg,,,,,,,,0.432
auc,ll_L0_avg,,,,,,,,0.4550720620842572
auc,ll_L6_avg,,,,,,,,0.6084098828001266
auc,ll_L12_avg,,,,,,,,0.5902834969908141
auc,ll_L18_avg,,,,,,,,0.5850332594235034
auc,ll_L24_avg,,,,,,,,0.5883196072220462
auc,ll_L30_avg,,,,,,,,0.6005939182768452
auc,ll_L36_avg,,,,,,,,0.6163367120684194
auc,ll_L42_avg,,,,,,,,0.6242397846056382
auc,ll_L47_avg,,,,,,,,0.6334811529933481
auc,fl_L0_k1_prob,,,,,,,,0.4497822299651568
auc,fl_L6_k1_prob,,,,,,,,0.6072537218878683
auc,fl_L12_k1_prob,,,,,,,,0.579244535951853
auc,fl_L18_k1_prob,,,,,,,,0.5711514095660437
auc,fl_L24_k1_prob,,,,,,,,0.5770747545137789
auc,fl_L30_k1_prob,,,,,,,,0.5920414950902755
auc,fl_L36_k1_prob,,,,,,,,0.61238517579981
auc,fl_L42_k1_prob,,,,,,,,0.6225134621476085
auc,fl_L47_k1_prob,,,,,,,,0.6322062084257206
auc_combined,ntp_avg_prob,,,,,,,,0.8992683368726195
auc_combined,fl_mid_avg_prob,,,,,,,,0.30433225469376746
auc_combined,lookahead_avg,,,,,,,,0.9159628770301624
